colony_number,date_caught,location,rearing_location,date_of_queen_death,date_of_egg_laying,date_of_second_screen,second_screen_passed,date_of_first_worker,date_of_6_workers,date_of_colony_box_move,date_of_exposure_start,number_of_workers_at_exposure_start,treatment_assigned
74,07.03.22,windsor great park,porkka,,31.03.22,18.03.22,Y,,,,,,
75,07.03.22,windsor great park,porkka,,24.03.22,18.03.22,Y,19.04.22,04.05.22,04.05.22,06.05.22,8,control
76,07.03.22,windsor great park,porkka,,16.03.22,18.03.22,Y,31.03.22,18.04.22,18.04.22,21.04.22,19,sivanto
77,07.03.22,windsor great park,porkka,,31.03.22,18.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,6,flup
78,07.03.22,windsor great park,porkka,31.03.22,,18.03.22,Y,,,,,,
79,07.03.22,windsor great park,porkka,,24.03.22,18.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,10,control
80,07.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
81,07.03.22,windsor great park,porkka,17.03.22,16.03.22,,n/a,,,,,,
82,07.03.22,windsor great park,porkka,11.03.22,,,n/a,,,,,,
83,07.03.22,windsor great park,porkka,,04.04.22,18.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,7,sivanto
84,07.03.22,windsor great park,porkka,,24.03.22,18.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,7,sivanto
85,07.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
86,07.03.22,windsor great park,porkka,,04.04.22,18.03.22,Y,,,,,,
87,08.03.22,windsor great park,porkka,,16.03.22,18.03.22,Y,07.04.22,18.04.22,18.04.22,21.04.22,8,control
88,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
89,08.03.22,windsor great park,porkka,11.03.22,,,n/a,,,,,,
90,08.03.22,windsor great park,porkka,,24.03.22,18.03.22,Y,,,,,,
91,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
92,08.03.22,windsor great park,porkka,,16.03.22,18.03.22,Y,,,,,,
93,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
94,08.03.22,windsor great park,porkka,,,18.03.22,N,,,,,,
95,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
96,08.03.22,windsor great park,porkka,,16.03.22,18.03.22,Y,11.04.22,18.04.22,18.04.22,21.04.22,10,control
97,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
98,08.03.22,windsor great park,porkka,,04.04.22,18.03.22,Y,,,,,,
99,08.03.22,windsor great park,porkka,24.03.22,16.03.22,18.03.22,Y,,,,,,
100,08.03.22,windsor great park,porkka,,16.03.22,18.03.22,Y,,,,,,
101,08.03.22,windsor great park,porkka,14.04.22,,18.03.22,Y,,,,,,
102,08.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
103,08.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
104,08.03.22,windsor great park,porkka,,17.03.22,18.03.22,Y,07.04.22,18.04.22,18.04.22,21.04.22,8,sivanto
105,08.03.22,windsor great park,porkka,,17.03.22,18.03.22,Y,14.04.22,26.04.22,26.04.22,27.04.22,10,control
106,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
107,08.03.22,windsor great park,porkka,14.04.22,04.04.22,18.03.22,Y,,,,,,
108,08.03.22,windsor great park,porkka,,17.03.22,18.03.22,N,,,,,,
109,08.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
110,08.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
111,08.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
112,08.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
113,10.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
114,10.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
115,10.03.22,windsor great park,porkka,,11.04.22,22.03.22,Y,,,,,,
116,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,07.04.22,18.04.22,18.04.22,19.04.22,7,control
117,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,04.04.22,07.04.22,08.04.22,19.04.22,14,flup
118,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,13,control
119,10.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,11.04.22,18.04.22,18.04.22,21.04.22,5,flup
120,10.03.22,windsor great park,porkka,21.03.22,,,n/a,,,,,,
121,10.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
122,10.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
123,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,19.04.22,26.04.22,26.04.22,27.04.22,9,flup
124,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,11.04.22,18.04.22,18.04.22,21.04.22,10,flup
125,10.03.22,windsor great park,porkka,22.03.22,17.03.22,22.03.22,n/a,,,,,,
126,10.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,,,,,,
127,10.03.22,windsor great park,porkka,,24.03.22,22.03.22,Y,14.04.22,18.04.22,18.04.22,21.04.22,7,sivanto
128,10.03.22,windsor great park,porkka,22.03.22,,,n/a,,,,,,
129,10.03.22,windsor great park,porkka,,14.04.22,22.03.22,Y,,,,,,
130,10.03.22,windsor great park,porkka,17.03.22,,,n/a,,,,,,
131,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,14.04.22,18.04.22,18.04.22,21.04.22,6,control
132,10.03.22,windsor great park,porkka,,,22.03.22,N,,,,,,
133,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,,,,,,
134,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,19.04.22,04.05.22,04.05.22,06.05.22,15,flup
135,10.03.22,windsor great park,porkka,,04.04.22,22.03.22,Y,19.04.22,04.05.22,04.05.22,06.05.22,9,sivanto
136,10.03.22,windsor great park,porkka,31.03.22,,22.03.22,Y,,,,,,
137,10.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
138,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,31.03.22,,,,,
139,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,,,,,,
140,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,04.05.22,04.05.22,04.05.22,06.05.22,16,flup
141,10.03.22,windsor great park,porkka,,04.04.22,22.03.22,Y,,,,,,
142,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,,,,,,
143,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,11.04.22,18.04.22,18.04.22,21.04.22,7,sivanto
144,10.03.22,windsor great park,porkka,,17.03.22,22.03.22,Y,,,,,,
145,10.03.22,windsor great park,porkka,,11.04.22,22.03.22,Y,,,,,,
146,10.03.22,windsor great park,porkka,,,22.03.22,Y,,,,,,
147,15.03.22,windsor great park,porkka,,28.03.22,22.03.22,Y,,,,,,
148,15.03.22,windsor great park,porkka,,14.04.22,22.03.22,Y,,,,,,
149,15.03.22,windsor great park,porkka,22.03.22,,,n/a,,,,,,
150,18.03.22,windsor great park,porkka,,31.03.22,22.03.22,Y,,,,,,
